"Relevé number","PriorCluster","SIVIMID","EUNIS_REVISED","EUNIS2020","Twinspan","Twinspan2","Class","Order","Alliance","Sintaxon","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation"
"787",9,"R-P24692","V39"," V39   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Chenopodietea","Chenopodietalia","Geranio pusilli-Anthriscion caucalidis","Galio aparinellae-Anthriscetum caucalidis","",NA,1,"2012",-6.656292335,42.41974038,"1 - UTM1x1 + Elevation",589
"788",1,"R-P24998","R36"," R21   ","V35 Trampled","V35 Trampled perennials","Molinio-Arrhenatheretea","Potentillo-Polygonetalia avicularis","Potentillion anserinae","Lolietum perennis","S",5,20,"2012",-6.497137816,42.31125552,"1 - UTM1x1 + Elevation",810
"789",1,"R-P24999","R36"," R     ","V35 Trampled","V35 Trampled perennials","Molinio-Arrhenatheretea","Potentillo-Polygonetalia avicularis","Potentillion anserinae","Lolietum perennis","",NA,20,"2012",-6.453535322,42.31257857,"1 - UTM1x1 + Elevation",1250
"790",1,"R-P25000","R36"," R36   ","V35 Trampled","V35 Trampled perennials","Molinio-Arrhenatheretea","Potentillo-Polygonetalia avicularis","Potentillion anserinae","Lolietum perennis","",NA,2,"2012",-6.501782801,42.30751177,"1 - UTM1x1 + Elevation",831
"791",1,"R-P25001","R36"," R     ","V35 Trampled","V35 Trampled perennials","Molinio-Arrhenatheretea","Potentillo-Polygonetalia avicularis","Potentillion anserinae","Lolietum perennis","",NA,10,"2012",-6.546491148,42.32594607,"1 - UTM1x1 + Elevation",862
"792",1,"R-P25002","R36"," R36   ","V35 Trampled","V35 Mesic trampled annuals","Molinio-Arrhenatheretea","Potentillo-Polygonetalia avicularis","Potentillion anserinae","Lolietum perennis","NE",3,15,"2012",-6.666903433,42.26812708,"1 - UTM1x1 + Elevation",1054
"793",1,"R-P25003","R36"," R36   ","V35 Trampled","V35 Trampled perennials","Molinio-Arrhenatheretea","Potentillo-Polygonetalia avicularis","Potentillion anserinae","Lolietum perennis","",NA,20,"2012",-6.792026305,42.41352377,"1 - UTM1x1 + Elevation",400
"794",8,"R-P27073","V38"," V33   ","V37 Annual ruderals","V37 Annual ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","",NA,10,"1985",-5.814756567,43.6140776,"4 - UTM10x10 + Centroid",48
"795",8,"R-P27074","V38"," V     ","V37 Annual ruderals","V37 Annual ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","",NA,5,"1985",-6.949739134,43.54130303,"4 - UTM10x10 + Centroid",47
"796",7,"R-P27075","V37"," V32   ","V37 Annual ruderals","V37 Annual ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","",0,8,"1985",-8.645063554,42.42890235,"3 - UTM10x10 + Elevation",5
"797",7,"R-P27076","V37"," V32   ","V37 Annual ruderals","V37 Annual ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","",0,8,"1985",-8.68617551,42.39985767,"3 - UTM10x10 + Elevation",5
"798",7,"R-P27078","V37"," V32   ","V37 Annual ruderals","V37 Annual ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","SW",30,30,"1985",-8.543430035,42.81737201,"3 - UTM10x10 + Elevation",220
"799",7,"R-P27079","V37"," V32   ","V37 Annual ruderals","V37 Annual ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","W",NA,8,"1985",-7.616743442,43.66705507,"3 - UTM10x10 + Elevation",40
"800",8,"R-P27080","V38"," V33   ","V37 Annual ruderals","V37 Annual ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","NW",NA,20,"1985",-8.084451059,43.65436324,"3 - UTM10x10 + Elevation",5
"801",7,"R-P27081","V37"," V32   ","V37 Annual ruderals","V37 Annual ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","S",30,12,"1985",-8.788432989,42.25734148,"4 - UTM10x10 + Centroid",35
"802",7,"R-P27082","V37"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","",NA,20,"1985",-8.927698183,42.76504137,"4 - UTM10x10 + Centroid",100
"803",7,"R-P27084","V37"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","",NA,4,"1985",-8.939600765,42.85817381,"4 - UTM10x10 + Centroid",281
"804",8,"R-P27085","V38"," V33   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","SE",NA,25,"1985",-8.939600765,42.85817381,"4 - UTM10x10 + Centroid",281
"805",7,"R-P27086","V37"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","SE",NA,30,"1985",-9.076223063,42.78970726,"4 - UTM10x10 + Centroid",103.5
"806",0,"R-P27087",""," R     ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","",5,9,"1985",-8.896225772,42.77268555,"3 - UTM10x10 + Elevation",35
"807",8,"R-P27088","V38"," V33   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","",NA,15,"1985",-9.024891352,42.66334622,"3 - UTM10x10 + Elevation",50
"808",7,"R-P27089","V37"," V32   ","V37 Annual ruderals","V37 Annual ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","NE",NA,5,"1985",-8.655536799,42.30235536,"3 - UTM10x10 + Elevation",40
"809",7,"R-P27090","V37"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","NW",NA,20,"1985",-8.730383271,42.29862745,"3 - UTM10x10 + Elevation",80
"810",7,"R-P27091","V37"," V32   ","V37 Annual ruderals","V37 Annual ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","",NA,10,"1985",-7.868039742,42.34399505,"3 - UTM10x10 + Elevation",110
"811",7,"R-P27092","V37"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","SW",45,10,"1985",-8.218287074,43.28101945,"3 - UTM10x10 + Elevation",40
"812",8,"R-P27093","V38"," V32   ","V37 Annual ruderals","V37 Annual ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","",NA,12,"1985",-8.02739789,43.62448443,"3 - UTM10x10 + Elevation",170
"813",7,"R-P27094","V37"," V32   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","E",NA,30,"1985",-8.449176467,42.85624262,"4 - UTM10x10 + Centroid",291
"814",8,"R-P27095","V38"," V33   ","V37 Annual ruderals","V37 Annual ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","",NA,25,"1985",-7.847236582,42.31138127,"4 - UTM10x10 + Centroid",305
"815",8,"R-P27096","V38"," V33   ","V37 Annual ruderals","V37 Annual ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","",NA,10,"1985",-7.492084004,41.94706717,"4 - UTM10x10 + Centroid",515
"816",7,"R-P27097","V37"," V32   ","V37 Annual ruderals","V37 Annual ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","",NA,20,"1985",-8.572186673,42.76671167,"4 - UTM10x10 + Centroid",147
"817",7,"R-P27098","V37"," V32   ","V15 Weeds of poor soils","V15 Summer weeds of poor soils","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","NE",NA,80,"1985",-8.619651879,42.28071968,"3 - UTM10x10 + Elevation",40
"818",8,"R-P27099","V38"," R     ","V37 Annual ruderals","V37 Dry perennial ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","",NA,10,"1985",-8.603893194,42.26708981,"3 - UTM10x10 + Elevation",50
"819",8,"R-P27100","V38"," V33   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","S",NA,10,"1985",-8.021703226,42.32294709,"3 - UTM10x10 + Elevation",120
"820",7,"R-P27101","V37"," V32   ","V37 Annual ruderals","V37 Annual ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","S",NA,8,"1985",-7.999375323,42.34733288,"3 - UTM10x10 + Elevation",120
"821",8,"R-P27102","V38"," R     ","V37 Annual ruderals","V37 Dry perennial ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","",NA,12,"1985",-5.814756567,43.6140776,"4 - UTM10x10 + Centroid",48
"822",8,"R-P27103","V38"," V     ","V37 Annual ruderals","V37 Dry perennial ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","",NA,10,"1985",-5.814756567,43.6140776,"4 - UTM10x10 + Centroid",48
"823",8,"R-P27105","V38"," V32   ","V37 Annual ruderals","V37 Dry perennial ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","",NA,3,"1985",-6.708298223,43.53800992,"4 - UTM10x10 + Centroid",71
"824",8,"R-P27106","V38"," V33   ","V37 Annual ruderals","V37 Dry perennial ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","",NA,20,"1985",-5.982601798,43.44749749,"4 - UTM10x10 + Centroid",325
"825",8,"R-P27107","V38"," V32   ","V37 Annual ruderals","V37 Annual ruderals","Chenopodietea","Brometalia rubenti-tectorum","Echio-Galactition tomentosae","Coleostepho myconis-Galactitetum tomentosae","",NA,8,"1985",-5.814756567,43.6140776,"4 - UTM10x10 + Centroid",48
"826",4,"R-P28933","V15"," V32   ","V15 Weeds of poor soils","V15 Summer weeds of poor soils",NA,NA,NA,"Associació-Desconeguda","",NA,40,"1982",-8.56035296,42.76073549,"3 - UTM10x10 + Elevation",30
"827",4,"R-P28934","V15"," V32   ","V15 Weeds of poor soils","V15 Summer weeds of poor soils",NA,NA,NA,"Associació-Desconeguda","",NA,20,"1982",-8.588413838,42.74676233,"3 - UTM10x10 + Elevation",30
"828",6,"R-P28987","V35"," V35   ","V35 Trampled","V35 Mesic trampled annuals","Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polygono-Coronopodion","Matricario-Polygonetum arenastrii","",NA,1,"2014",-3.595207484,43.11232738,"2 - UTM1x1 + Centroid",820
"829",6,"R-P28988","V35"," V35   ","V35 Trampled","V35 Mesic trampled annuals","Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polygono-Coronopodion","Matricario-Polygonetum arenastrii","",NA,2,"2014",-3.553095549,43.07651904,"1 - UTM1x1 + Elevation",770
"830",6,"R-P28989","V35"," V35   ","V35 Trampled","V35 Mesic trampled annuals","Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polygono-Coronopodion","Matricario-Polygonetum arenastrii","",NA,1,"2014",-3.641215612,43.04544235,"1 - UTM1x1 + Elevation",730
"831",6,"R-P28990","V35"," V35   ","V35 Trampled","V35 Mesic trampled annuals","Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polygono-Coronopodion","Matricario-Polygonetum arenastrii","",NA,1,"2014",-3.624155646,43.05814363,"1 - UTM1x1 + Elevation",700
"832",6,"R-P28991","V35"," V35   ","V35 Trampled","V35 Mesic trampled annuals","Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polygono-Coronopodion","Matricario-Polygonetum arenastrii","",NA,1,"2014",-3.680561396,43.05061812,"1 - UTM1x1 + Elevation",750
"833",6,"R-P28992","V35"," V35   ","V35 Trampled","V35 Mesic trampled annuals","Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polygono-Coronopodion","Matricario-Polygonetum arenastrii","",NA,2,"2014",-3.560449147,43.07468227,"1 - UTM1x1 + Elevation",780
"834",7,"R-P28993","V37"," V37   ","V35 Trampled","V35 Mesic trampled annuals","Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","",NA,2,"2014",-3.660936039,43.05253414,"1 - UTM1x1 + Elevation",730
"835",7,"R-P28994","V37"," V37   ","V35 Trampled","V35 Mesic trampled annuals","Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","",NA,10,"2014",-3.558188735,43.09630514,"1 - UTM1x1 + Elevation",830
"836",9,"R-P28995","V39"," V38   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Chenopodio boni-henrici-Senecionetum nebrodensis","",NA,4,"2014",-3.681499287,43.1352586,"1 - UTM1x1 + Elevation",1420
"837",9,"R-P28996","V39"," V39   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Artemisietea vulgaris","Onopordetalia acanthii","Cirsion richterano-chodati","Carduo nutantis-Cirsietum richterani","",NA,40,"2014",-3.595207484,43.11232738,"2 - UTM1x1 + Centroid",820
"838",8,"R-P28997","V38"," V38   ","V38 Dry ruderals","V38 Dry thistle ruderals","Artemisietea vulgaris","Onopordetalia acanthii","Cirsion richterano-chodati","Carduo nutantis-Cirsietum richterani","",NA,10,"2014",-3.698486559,43.11534549,"1 - UTM1x1 + Elevation",1130
"839",8,"R-P28998","V38"," V38   ","V38 Dry ruderals","V38 Dry thistle ruderals","Artemisietea vulgaris","Onopordetalia acanthii","Cirsion richterano-chodati","Carduo nutantis-Cirsietum richterani","",NA,20,"2014",-3.645031218,43.17509115,"2 - UTM1x1 + Centroid",1200
"840",8,"R-P28999","V38"," V38   ","V38 Dry ruderals","V38 Dry thistle ruderals","Artemisietea vulgaris","Onopordetalia acanthii","Cirsion richterano-chodati","Carduo nutantis-Cirsietum richterani","",NA,20,"2014",-3.506374025,43.07133235,"1 - UTM1x1 + Elevation",765
"841",8,"R-P29000","V38"," V38   ","V38 Dry ruderals","V38 Dry thistle ruderals","Artemisietea vulgaris","Onopordetalia acanthii","Cirsion richterano-chodati","Carduo nutantis-Cirsietum richterani","",NA,15,"2014",-3.553176554,43.08552358,"1 - UTM1x1 + Elevation",780
"842",9,"R-P29001","V39"," V     ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Circaeo lutetianae-Stachyetalia sylvaticae","Aegopodion podagrariae","Galio aparines-Anthriscetum sylvestris","",NA,100,"2014",-3.553063157,43.07291722,"1 - UTM1x1 + Elevation",770
"843",9,"R-P29002","V39"," V39   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Circaeo lutetianae-Stachyetalia sylvaticae","Aegopodion podagrariae","Galio aparines-Anthriscetum sylvestris","",NA,60,"2014",-3.570626544,43.11245261,"2 - UTM1x1 + Centroid",760
"844",9,"R-P29004","V39"," V39   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","",NA,80,"2014",-3.4600105,43.11295076,"2 - UTM1x1 + Centroid",750
"845",9,"R-P29005","V39"," R57   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,100,"2014",-3.597753212,43.12131899,"1 - UTM1x1 + Elevation",840
"846",9,"R-P29006","V39"," R57   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,100,"2014",-3.597700622,43.11591634,"1 - UTM1x1 + Elevation",840
"847",9,"R-P29007","V39"," R57   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,30,"2014",-3.595207484,43.11232738,"2 - UTM1x1 + Centroid",820
"848",1,"R-P29083","R36"," R     ","V35 Trampled","V35 Trampled perennials","Molinio-Arrhenatheretea","Potentillo-Polygonetalia avicularis","Potentillion anserinae","Lolietum perennis","",NA,2,"2014",-3.621681544,43.0563561,"1 - UTM1x1 + Elevation",700
"849",1,"R-P29084","R36"," R     ","V35 Trampled","V35 Trampled perennials","Molinio-Arrhenatheretea","Potentillo-Polygonetalia avicularis","Potentillion anserinae","Lolietum perennis","",NA,2,"2014",-3.595207484,43.11232738,"2 - UTM1x1 + Centroid",820
"850",1,"R-P29085","R36"," R21   ","V35 Trampled","V35 Trampled perennials","Molinio-Arrhenatheretea","Potentillo-Polygonetalia avicularis","Potentillion anserinae","Lolietum perennis","",NA,4,"2014",-3.589686499,43.04932146,"1 - UTM1x1 + Elevation",700
"851",1,"R-P29086","R36"," R36   ","V35 Trampled","V35 Trampled perennials","Molinio-Arrhenatheretea","Potentillo-Polygonetalia avicularis","Potentillion anserinae","Lolietum perennis","",NA,2,"2014",-3.578085602,43.12142004,"1 - UTM1x1 + Elevation",850
"852",8,"R-P33439","V38"," V32   ","V37 Annual ruderals","V37 Dry perennial ruderals",NA,NA,NA,"Associació-Desconeguda","",NA,NA,"2003",-2.527514949,42.57798446,"3 - UTM10x10 + Elevation",540
"853",1,"S-P11097","R36"," R36   ","V35 Trampled","V35 Trampled perennials","Molinio-Arrhenatheretea","Potentillo-Polygonetalia avicularis","Potentillion anserinae","Lolio perennis-Plantaginetum majoris","",NA,8,"1989",-4.487894143,42.92410402,"1 - UTM1x1 + Elevation",1080
"854",1,"S-P11098","R36"," R36   ","V35 Trampled","V35 Trampled perennials","Molinio-Arrhenatheretea","Potentillo-Polygonetalia avicularis","Potentillion anserinae","Lolio perennis-Plantaginetum majoris","",NA,4,"1989",-4.485159054,43.01418874,"1 - UTM1x1 + Elevation",1200
"855",1,"S-P11099","R36"," R     ","V35 Trampled","V35 Trampled perennials","Molinio-Arrhenatheretea","Potentillo-Polygonetalia avicularis","Potentillion anserinae","Lolio perennis-Plantaginetum majoris","",NA,4,"1989",-4.48897882,42.96911467,"2 - UTM1x1 + Centroid",1070
"856",1,"S-P11100","R36"," R36   ","V35 Trampled","V35 Trampled perennials","Molinio-Arrhenatheretea","Potentillo-Polygonetalia avicularis","Potentillion anserinae","Lolio perennis-Plantaginetum majoris","",NA,8,"1989",-4.416845561,42.92500559,"1 - UTM1x1 + Elevation",1220
"857",7,"S-P11127","V37"," V37   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Chenopodietea","Chenopodietalia","Chenopodion muralis","Urtico urentis-Malvetum neglectae","",NA,2,"1989",-4.428310812,42.99690267,"2 - UTM1x1 + Centroid",1220
"858",7,"S-P11128","V37"," V37   ","V37 Annual ruderals","V37 Annual ruderals","Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","",NA,15,"1989",-4.414395552,42.92503589,"1 - UTM1x1 + Elevation",1220
