"EM","Name","Note","Family","Endem","Lifeform","Binomen/trinomen","Notes for (-) or (?)","Genus","Species","Infra.r","Infrasp","Authority","UICN-SP","Asturias","Cantabria","Galicia","CyL","PRO","Spain Catalogues of protected species","DH","SOLO PARA AUTORES","Diagnosis","V2","Phytosociology (Rivas-Martinez et al. 2001)","TPLName","TPLNameFull","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","family","order","class","clade","group","F","K","L","N","R","T"
"+","Carthamus carduncellus L.",".","Compositae",".","Hemicryptophyte","Carthamus carduncellus",".","Carthamus","carduncellus",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",550,"52. Festuco hystricis-Ononidetea striatae","Carthamus carduncellus","Carthamus carduncellus L.","Carthamus","","carduncellus","","","L.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",4,5,8,3,7,6
"+","Carthamus lanatus L.",".","Compositae",".","Therophyte","Carthamus lanatus",".","Carthamus","lanatus",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",551,"34d. Carthametalia lanati","Carthamus lanatus","Carthamus lanatus L.","Carthamus","","lanatus","","","L.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Carthamus mitissimus L.",".","Compositae",".","Hemicryptophyte","Carthamus mitissimus",".","Carthamus","mitissimus",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",552,"51.1. Potentillo montanae-Brachypodion rupestris","Carthamus mitissimus","Carthamus mitissimus L.","Carthamus","","mitissimus","","","L.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",5,5,8,3,7,6
"+","Carum carvi L.",".","Apiaceae",".","Hemicryptophyte","Carum carvi",".","Carum","carvi",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",553,"59b. Arrhenatheretalia elatioris","Carum carvi","Carum carvi L.","Carum","","carvi","","","L.","Apiaceae","Apiales","Magnoliopsida","Superasterids","Angiosperms",6,5,7,5,6,5
"+","Carum verticillatum (L.) W.D.J.Koch",".","Apiaceae",".","Hemicryptophyte","Carum verticillatum",".","Carum","verticillatum",NA,NA,"(L.) W.D.J.Koch",".",".",".",".",".",NA,NA,NA,NA,"Native",554,"59.3. Juncion acutiflori","Carum verticillatum","Carum verticillatum (L.) W.D.J.Koch","Carum","","verticillatum","","","(L.) W.D.J.Koch","Apiaceae","Apiales","Magnoliopsida","Superasterids","Angiosperms",8,4,7,4,4,5
"+","Castanea sativa Mill.",".","Fagaceae",".","Phanerophyte","Castanea sativa",".","Castanea","sativa",NA,NA,"Mill.",".",".",".",".",".",NA,NA,NA,NA,"Native",555,"76. Querco-Fagetea","Castanea sativa","Castanea sativa Mill.","Castanea","","sativa","","","Mill.","Fagaceae","Fagales","Magnoliopsida","Superrosids","Angiosperms",7,4,6,5,5,6
"+","Catabrosa aquatica (L.) P.Beauv.",".","Poaceae",".","Therophyte","Catabrosa aquatica",".","Catabrosa","aquatica",NA,NA,"(L.) P.Beauv.",".",".",".",".",".",NA,NA,NA,NA,"Native",556,"12.3. Rorippion nasturtii-aquatici","Catabrosa aquatica","Catabrosa aquatica (L.) P.Beauv.","Catabrosa","","aquatica","","","(L.) P.Beauv.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",10,5,7,6,6,5
"+","Catananche caerulea L.",".","Compositae",".","Hemicryptophyte","Catananche caerulea",".","Catananche","caerulea",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",557,"64a. Rosmarinetalia officinalis","Catananche caerulea","Catananche caerulea L.","Catananche","","caerulea","","","L.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",5,5,8,4,7,6
"+","Catapodium rigidum (L.) C.E.Hubb.",".","Poaceae",".","Therophyte","Catapodium rigidum",".","Catapodium","rigidum",NA,NA,"(L.) C.E.Hubb.",".",".",".",".",".",NA,NA,NA,NA,"Native",559,"39e. hero-Brometalia annuae","Catapodium rigidum","Catapodium rigidum (L.) C.E.Hubb.","Catapodium","","rigidum","","","(L.) C.E.Hubb.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",5,5,8,5,6,7
"+","Caucalis platycarpos L.",".","Apiaceae",".","Therophyte","Caucalis platycarpos",".","Caucalis","platycarpos",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",560,"39aCentaureetalia cyani","Caucalis platycarpos","Caucalis platycarpos L.","Caucalis","","platycarpos","","","L.","Apiaceae","Apiales","Magnoliopsida","Superasterids","Angiosperms",5,5,7,6,6,6
"+","Centaurea langei Nyman",".","Compositae",".","Hemicryptophyte","Centaurea langei",".","Centaurea","langei",NA,NA,"Nyman",".",".",".",".",".",NA,NA,NA,NA,"Native",571,"En Molinio-Arrhenatheretea","Centaurea aristata","Centaurea aristata subsp. langeana (Arènes) Dostál","Centaurea","","aristata","subsp.","langeana","(Arènes) Dostál","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",5,5,7,5,7,6
"+","Centaurea calcitrapa L.",".","Compositae",".","Hemicryptophyte","Centaurea calcitrapa",".","Centaurea","calcitrapa",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",563,"34B. Onopordenea acanthii","Centaurea calcitrapa","Centaurea calcitrapa L.","Centaurea","","calcitrapa","","","L.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",5,5,8,6,7,6
"+","Centaurea jacea subsp. angustifolia (DC.) Gremli",".","Compositae",".","Hemicryptophyte","Centaurea jacea subsp. angustifolia",".","Centaurea","jacea","subsp.","angustifolia","(DC.) Gremli",".",".",".",".",".",NA,NA,NA,NA,"Native",567,"59. Molinio caerulaeae-Arrhenatheretea elatioris","Centaurea jacea","Centaurea jacea subsp. angustifolia (DC.)","Centaurea","","jacea","subsp.","angustifolia","(DC.)","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",7,5,7,4,5,5
"+","Centaurea janeri subsp. babiana Laínz",".","Compositae","CM","Hemicryptophyte","Centaurea janeri subsp. babiana",".","Centaurea","janeri","subsp.","babiana","Laínz",".",".",".",".","AtP","y",NA,NA,NA,"Native",569,"52.8. Festucion burnatii","Centaurea janerii","Centaurea janerii Graells","Centaurea","","janerii","","","Graells","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",5,5,8,3,6,6
"+","Centaurea lagascana Graells",".","Compositae",".","Hemicryptophyte","Centaurea lagascana",".","Centaurea","lagascana",NA,NA,"Graells",".",".",".",".",".",NA,NA,NA,NA,"Native",570,"34.8. Cirsion richteriano-chodati","Centaurea lagascana","Centaurea lagascana Graells","Centaurea","","lagascana","","","Graells","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",5,5,7,4,7,6
"+","Centaurea legionis-septimae Fern.Casas & Susanna",".","Compositae","CM","Hemicryptophyte","Centaurea legionis-septimae",".","Centaurea","legionis-septimae",NA,NA,"Fern.Casas & Susanna",".",".",".",".",".",NA,NA,NA,NA,"Native",572,".","Centaurea legionis-septimae","Centaurea legionis-septimae Fern.Casas & Susanna","Centaurea","","legionis-septimae","","","Fern.Casas & Susanna","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Centaurea limbata Hoffmanns. & Link",".","Compositae",".","Hemicryptophyte","Centaurea limbata",".","Centaurea","limbata",NA,NA,"Hoffmanns. & Link",".",".",".",".",".",NA,NA,NA,NA,"Native",573,".","Centaurea limbata","Centaurea limbata Hoffmanns. & Link","Centaurea","","limbata","","","Hoffmanns. & Link","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",4,5,8,4,5,7
"+","Centaurea melitensis L.",".","Compositae",".","Therophyte","Centaurea melitensis",".","Centaurea","melitensis",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",574,"39e. hero-Brometalia annuae","Centaurea melitensis","Centaurea melitensis L.","Centaurea","","melitensis","","","L.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",5,5,8,7,7,6
"+","Centaurea nigra subsp. nigra L.",".","Compositae",".","Hemicryptophyte","Centaurea nigra subsp. nigra",".","Centaurea","nigra","subsp.","nigra","L.",".",".",".",".",".",NA,NA,NA,NA,"Native",576,".","Centaurea nigra","Centaurea nigra L.","Centaurea","","nigra","","","L.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",7,4,7,5,5,6
"+","Centaurea nigra subsp. rivularis (Brot.) Cout.",".","Compositae",".","Hemicryptophyte","Centaurea nigra subsp. rivularis",".","Centaurea","nigra","subsp.","rivularis","(Brot.) Cout.",".",".",".",".",".",NA,NA,NA,NA,"Native",578,"59a. Molinietalia caeruleae","Centaurea nigra","Centaurea nigra subsp. rivularis (Brot.) Cout.","Centaurea","","nigra","subsp.","rivularis","(Brot.) Cout.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",7,4,7,5,5,6
"+","Centaurea ornata Willd.",".","Compositae",".","Hemicryptophyte","Centaurea ornata",".","Centaurea","ornata",NA,NA,"Willd.",".",".",".",".",".",NA,NA,NA,NA,"Native",579,"57.3. Agrostio-Stipion giganteae","Centaurea ornata","Centaurea ornata Willd.","Centaurea","","ornata","","","Willd.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Centaurea scabiosa subsp. cephalariifolia  (Willk.) Greuter",".","Compositae",".","Hemicryptophyte","Centaurea scabiosa subsp. cephalariifolia",".","Centaurea","scabiosa","subsp.","cephalariifolia"," (Willk.) Greuter",".",".",".",".",".",NA,NA,NA,NA,"Native",581,"51b. Brachypodietalia phoenicoidis","Centaurea scabiosa","Centaurea scabiosa subsp. cephalariifolia (Willk.) Greuter","Centaurea","","scabiosa","subsp.","cephalariifolia","(Willk.) Greuter","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",5,5,7,5,7,6
"+","Centaurea solstitialis L.",".","Compositae",".","Therophyte","Centaurea solstitialis",".","Centaurea","solstitialis",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,"RA: Para el material que hemos llamado Centaurea triumfettii o triumfettii subsp. lingulata y que en Flora Iberica sinonimizan a C. graminifolia,  Euro+Med da como nombre válido Cyanus triumfettii subsp. axillaris (Celak.) Štepánek. Añadir.","Native",582,"34B. Onopordenea acanthii","Centaurea solstitialis","Centaurea solstitialis L.","Centaurea","","solstitialis","","","L.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Centaurea thuillieri J. Duvign. & Lambinon",".","Compositae",".","Hemicryptophyte","Centaurea thuillieri",".","Centaurea","thuillieri",NA,NA,"J. Duvign. & Lambinon",".",".",".",".",".",NA,NA,NA,"LC: De los datos ecológicos y altitudinales que recogen Flora iberica y su publicación de base (http://www.biolveg.uma.es/abm/Volumenes/vol36/36_Arnelas.pdf) se deduciría que la planta está ceñida a las zonas costeras, pero la lista de sus materiales evidencia que penetra en lo orocantábrico. Eso sí, solo lo que llaman subsp. pratensis, a lo que Euro+Med llama a su vez Centaurea thuillieri (http://ww2.bgbm.org/EuroPlusMed/PTaxonDetail.asp?NameId=7520879&PTRefFk=7000000). EC: En anthos aparecen recogidas las 2 subespecies: Centaurea debeauxii subsp. debeauxii Centaurea debeauxii subsp. grandiflora. BJA: Parece que hay solo una cita en nuestro territorio de la segunda subspecie, por el momento dejamos  C. thuillieri como único taxon siguiendo nomenclatura de E+M.","Native",566,".","Centaurea thuillieri","Centaurea thuillieri (Dostál) J.Duvign. & Lambinon","Centaurea","","thuillieri","","","(Dostál) J.Duvign. & Lambinon","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Centaurium somedanum M. Laínz",".","Gentianaceae","CM","Chamaephyte","Centaurium somedanum",".","Centaurium","somedanum",NA,NA,"M. Laínz","VU","Sensible a la alteración de su hábitat",".",".","VU","y","LESPRE","Annex II*",NA,"Native",588,"26.1. Cratoneurion commutati","Centaurium chloodes","Centaurium chloodes subsp. somedanum (Laínz) Romero","Centaurium","","chloodes","subsp.","somedanum","(Laínz) Romero","Gentianaceae","Gentianales","Magnoliopsida","Superasterids","Angiosperms",8,5,8,3,6,5
"+","Centaurium erythraea subsp. erythraea Rafn",".","Gentianaceae",".","Therophyte","Centaurium erythraea subsp. erythraea",".","Centaurium","erythraea","subsp.","erythraea","Rafn",".",".",".",".",".",NA,NA,NA,NA,"Native",583,"51. Festuco valesiacae-Brometea erecti","Centaurium erythraea","Centaurium erythraea Rafn","Centaurium","","erythraea","","","Rafn","Gentianaceae","Gentianales","Magnoliopsida","Superasterids","Angiosperms",6,4,7,5,6,6
"+","Centaurium erythraea subsp. grandiflorum (Pers.) Melderis",".","Gentianaceae",".","Therophyte","Centaurium erythraea subsp. grandiflorum",".","Centaurium","erythraea","subsp.","grandiflorum","(Pers.) Melderis",".",".",".",".",".",NA,NA,NA,NA,"Native",584,"En Festuco valesiacae-Brometea erecti","Centaurium erythraea","Centaurium erythraea subsp. grandiflorum (Pers.) Melderis","Centaurium","","erythraea","subsp.","grandiflorum","(Pers.) Melderis","Gentianaceae","Gentianales","Magnoliopsida","Superasterids","Angiosperms",6,4,7,5,6,6
"-","Centaurium portense (Brot.) Butcher","?","Gentianaceae",".","Chamaephyte","Centaurium portense","Records for the study area correspond to marginal UTM cells with lowlands and need to be confirmed in the study area","Centaurium","portense",NA,NA,"(Brot.) Butcher",".",".",".",".",".",NA,NA,NA,"LC: Atendiendo al comportamiento que la planta tiene en Asturias, donde apenas se aleja de la costa, no dejan de sorprenderme esas citas del Courel y el Cebreiro, pero lo cierto es que sus credenciales son excelentes... En todo caso, habría que reservar C. scilloides para la planta azoriana y usar C. portense para la de la Europa continental y las Islas Británicas.","Native",587,"61.4. Daboecion cantabricae","Centaurium maritimum","Centaurium maritimum (L.) Fritsch","Centaurium","","maritimum","","","(L.) Fritsch","Gentianaceae","Gentianales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Centaurium maritimum (L.) Fritsch",".","Gentianaceae",".","Therophyte","Centaurium maritimum",".","Centaurium","maritimum",NA,NA,"(L.) Fritsch",".",".",".",".",".",NA,NA,NA,NA,"Native",585,"9.1. Isoetion","Centaurium maritimum","Centaurium maritimum (L.) Fritsch","Centaurium","","maritimum","","","(L.) Fritsch","Gentianaceae","Gentianales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Centaurium pulchellum (Sw.) Druce","?","Gentianaceae",".","Therophyte","Centaurium pulchellum","Records for the study area correspond to marginal UTM cells with lowlands and need to be confirmed in the study area","Centaurium","pulchellum",NA,NA,"(Sw.) Druce",".",".",".",".",".",NA,NA,NA,"LC: C. grandiflorum y C. maritimum ya deben de ser extremadamente raros y marginales en la provincia orocantábrica, pero sí veo citas verosímiles. Las de pulchellum ya hay que asumir que se refieren a localidades situadas en cuadrados UTM que abarcan territorio orocantábrico, pero fuera de él. Yo lo quitaría. BJA: Si asumimos celdas de 10km x 10 km como referencia especial, habrá que dejarlo (aunque sea marginal)","Native",586,"9. Isoeto-Nanojuncetea","Centaurium pulchellum","Centaurium pulchellum (Sw.) Druce","Centaurium","","pulchellum","","","(Sw.) Druce","Gentianaceae","Gentianales","Magnoliopsida","Superasterids","Angiosperms",7,4,8,5,6,6
"+","Centranthus calcitrapae (L.) Dufr.",".","Caprifoliaceae",".","Therophyte","Centranthus calcitrapae",".","Centranthus","calcitrapae",NA,NA,"(L.) Dufr.",".",".",".",".",".",NA,NA,NA,NA,"Native",590,"41. Cardamino-Geranietea purpurei","Centranthus calcitrapa","Centranthus calcitrapa (L.) Dufr.","Centranthus","","calcitrapa","","","(L.) Dufr.","Caprifoliaceae","Dipsacales","Magnoliopsida","Superasterids","Angiosperms",5,5,7,5,6,7
"+","Centranthus lecoqii Jord.",".","Caprifoliaceae",".","Chamaephyte","Centranthus lecoqii",".","Centranthus","lecoqii",NA,NA,"Jord.",".",".",".",".",".",NA,NA,NA,NA,"Native",591,"27a. Potentilletalia caulescentis","Centranthus lecoqii","Centranthus lecoqii Jord.","Centranthus","","lecoqii","","","Jord.","Caprifoliaceae","Dipsacales","Magnoliopsida","Superasterids","Angiosperms",4,5,7,4,7,7
"+","Centranthus ruber (L.) DC.",".","Caprifoliaceae",".","Chamaephyte","Centranthus ruber",".","Centranthus","ruber",NA,NA,"(L.) DC.",".",".",".",".",".",NA,NA,NA,NA,"Native",592,"28.1. Parietario judaicae-Centranthion rubri","Centranthus ruber","Centranthus ruber (L.) DC.","Centranthus","","ruber","","","(L.) DC.","Caprifoliaceae","Dipsacales","Magnoliopsida","Superasterids","Angiosperms",5,4,7,5,7,7
"+","Cephalanthera damasonium (Mill.) Druce",".","Orchidaceae",".","Geophyte","Cephalanthera damasonium",".","Cephalanthera","damasonium",NA,NA,"(Mill.) Druce",".",".",".",".",".",NA,NA,NA,NA,"Native",593,"76. Querco-Fagetea sylvaticae","Cephalanthera damasonium","Cephalanthera damasonium (Mill.) Druce","Cephalanthera","","damasonium","","","(Mill.) Druce","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",6,5,6,5,6,5
"+","Cephalanthera longifolia (L.) Fritsch",".","Orchidaceae",".","Geophyte","Cephalanthera longifolia",".","Cephalanthera","longifolia",NA,NA,"(L.) Fritsch",".",".",".",".",".",NA,NA,NA,NA,"Native",594,"76. Querco-Fagetea sylvaticae","Cephalanthera longifolia","Cephalanthera longifolia (L.) Fritsch","Cephalanthera","","longifolia","","","(L.) Fritsch","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",5,5,6,4,6,6
"+","Cephalanthera rubra (L.) Rich.",".","Orchidaceae",".","Geophyte","Cephalanthera rubra",".","Cephalanthera","rubra",NA,NA,"(L.) Rich.",".",".",".",".",".",NA,NA,NA,NA,"Native",595,"76. Querco-Fagetea sylvaticae","Cephalanthera rubra","Cephalanthera rubra (L.) Rich.","Cephalanthera","","rubra","","","(L.) Rich.","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",5,5,6,4,6,6
"+","Cephalaria leucantha (L.) Schrad. ex Roem. & Schult.",".","Caprifoliaceae",".","Hemicryptophyte","Cephalaria leucantha",".","Cephalaria","leucantha",NA,NA,"(L.) Schrad. ex Roem. & Schult.",".",".",".",".",".",NA,NA,NA,NA,"Native",596,"64a. Rosmarinetalia officinalis","Cephalaria leucantha","Cephalaria leucantha (L.) Schrad. ex Roem. & Schult.","Cephalaria","","leucantha","","","(L.) Schrad. ex Roem. & Schult.","Caprifoliaceae","Dipsacales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Cerastium arvense L.",".","Caryophyllaceae",".","Chamaephyte","Cerastium arvense",".","Cerastium","arvense",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",597,"55a. Sedo albi-Scleranthetalia biennis","Cerastium arvense","Cerastium arvense L.","Cerastium","","arvense","","","L.","Caryophyllaceae","Caryophyllales","Magnoliopsida","Superasterids","Angiosperms",5,5,8,4,6,5
"+","Cerastium brachypetalum Desp. ex Pers.",".","Caryophyllaceae",".","Therophyte","Cerastium brachypetalum",".","Cerastium","brachypetalum",NA,NA,"Desp. ex Pers.",".",".",".",".",".",NA,NA,NA,NA,"Native",598,"50. Tuberarietea guttatae","Cerastium brachypetalum","Cerastium brachypetalum Desp. ex Pers.","Cerastium","","brachypetalum","","","Desp. ex Pers.","Caryophyllaceae","Caryophyllales","Magnoliopsida","Superasterids","Angiosperms",4,5,8,3,6,7
"+","Cerastium cerastoides (L.) Britton",".","Caryophyllaceae",".","Chamaephyte","Cerastium cerastoides",".","Cerastium","cerastoides",NA,NA,"(L.) Britton",".",".",".",".","AtP","y",NA,NA,NA,"Native",599,"48.1. Salicion herbaceae","Cerastium cerastoides","Cerastium cerastoides (L.) Britton","Cerastium","","cerastoides","","","(L.) Britton","Caryophyllaceae","Caryophyllales","Magnoliopsida","Superasterids","Angiosperms",9,5,8,4,5,4
"+","Cerastium diffusum Pers.",".","Caryophyllaceae",".","Therophyte","Cerastium diffusum",".","Cerastium","diffusum",NA,NA,"Pers.",".",".",".",".",".",NA,NA,NA,NA,"Native",600,"50.2. Thero-Airion","Cerastium diffusum","Cerastium diffusum Pers.","Cerastium","","diffusum","","","Pers.","Caryophyllaceae","Caryophyllales","Magnoliopsida","Superasterids","Angiosperms",5,5,8,4,5,7
"+","Cerastium fontanum subsp. lucorum (Schur) Soó",".","Caryophyllaceae",".","Chamaephyte","Cerastium fontanum subsp. lucorum",".","Cerastium","fontanum","subsp.","lucorum","(Schur) Soó",".",".",".",".",".",NA,NA,NA,NA,"Native",602,"59. Molinio caerulaeae-Arrhenatheretea elatioris","Cerastium fontanum","Cerastium fontanum subsp. lucorum (Schur) Soó","Cerastium","","fontanum","subsp.","lucorum","(Schur) Soó","Caryophyllaceae","Caryophyllales","Magnoliopsida","Superasterids","Angiosperms",7,5,7,5,6,5
